hash,pvalue,oddsratio,count_in_samples,count_in_background,total_count,p_adj
1145684941138244,1.0,1.0,1,1,1,1.0
1145568195243993,1.0,1.0,1,1,1,1.0
1145409038941778,1.0,1.0,1,1,1,1.0
1145324801656216,1.0,1.0,1,1,1,1.0
1145294558740747,1.0,1.0,1,1,1,1.0
1145238217975301,1.0,1.0,1,1,1,1.0
1145123148988765,1.0,1.0,1,1,1,1.0
1145090334156265,1.0,1.0,1,1,1,1.0
1144950987459085,1.0,1.0,1,1,1,1.0
1144898898925193,1.0,1.0,1,1,1,1.0
1144872156766701,1.0,1.0,1,1,1,1.0
1144721193207392,1.0,1.0,1,1,1,1.0
1144634343374585,1.0,1.0,1,1,1,1.0
1144632875750712,1.0,1.0,1,1,1,1.0
1144506995249612,1.0,1.0,1,1,1,1.0
1144474631008583,1.0,1.0,1,1,1,1.0
1144352447106175,1.0,1.0,1,1,1,1.0
1145705508025439,1.0,1.0,1,1,1,1.0
1147563128709330,1.0,1.0,1,1,1,1.0
1145754808244421,1.0,1.0,1,1,1,1.0
1145941695911580,1.0,1.0,1,1,1,1.0
1147246106847701,1.0,1.0,1,1,1,1.0
1147118159587866,1.0,1.0,1,1,1,1.0
1147099574101698,1.0,1.0,1,1,1,1.0
1147064125227792,1.0,1.0,1,1,1,1.0
1146963630672394,1.0,1.0,1,1,1,1.0
1146960962152376,1.0,1.0,1,1,1,1.0
1146833762689684,1.0,1.0,1,1,1,1.0
1146787514038968,1.0,1.0,1,1,1,1.0
1146538041895668,1.0,1.0,1,1,1,1.0
1146516730167284,1.0,1.0,1,1,1,1.0
1146469905478517,1.0,1.0,1,1,1,1.0
1146384020695455,1.0,1.0,1,1,1,1.0
1146350570264182,1.0,1.0,1,1,1,1.0
1146331504571670,1.0,1.0,1,1,1,1.0
1146112900973284,1.0,1.0,1,1,1,1.0
1146057887498754,1.0,1.0,1,1,1,1.0
1146057584215020,1.0,1.0,1,1,1,1.0
1145808292418482,1.0,1.0,1,1,1,1.0
1151404151268726,1.0,1.0,1,1,1,1.0
1135446063790448,1.0,1.0,1,1,1,1.0
1134914106063141,1.0,1.0,1,1,1,1.0
1125833049309487,1.0,1.0,1,1,1,1.0
1125638224283347,1.0,1.0,1,1,1,1.0
1125618724207103,1.0,1.0,1,1,1,1.0
1125216820026632,1.0,1.0,1,1,1,1.0
1124977192386308,1.0,1.0,1,1,1,1.0
1124911774108560,1.0,1.0,1,1,1,1.0
1124853383889723,1.0,1.0,1,1,1,1.0
1125841125424910,1.0,1.0,1,1,1,1.0
1124843880795677,1.0,1.0,1,1,1,1.0
1124807553915377,1.0,1.0,1,1,1,1.0
1124673122824225,1.0,1.0,1,1,1,1.0
1124631525725284,1.0,1.0,1,1,1,1.0
1124608753314641,1.0,1.0,1,1,1,1.0
1124501721217010,1.0,1.0,1,1,1,1.0
1124464025219324,1.0,1.0,1,1,1,1.0
1124307191683888,1.0,1.0,1,1,1,1.0
1124808582266985,1.0,1.0,1,1,1,1.0
1125941032416341,1.0,1.0,1,1,1,1.0
1125999577804112,1.0,1.0,1,1,1,1.0
1126037830748144,1.0,1.0,1,1,1,1.0
1127589852708829,1.0,1.0,1,1,1,1.0
1127397623618491,1.0,1.0,1,1,1,1.0
1127381491617046,1.0,1.0,1,1,1,1.0
1127296102098823,1.0,1.0,1,1,1,1.0
1127192166421674,1.0,1.0,1,1,1,1.0
1127121387930102,1.0,1.0,1,1,1,1.0
1127026730743699,1.0,1.0,1,1,1,1.0
1127007213916566,1.0,1.0,1,1,1,1.0
1126998160441954,1.0,1.0,1,1,1,1.0
1126911716247179,1.0,1.0,1,1,1,1.0
1126646968874105,1.0,1.0,1,1,1,1.0
1126634585622845,1.0,1.0,1,1,1,1.0
1126575722030152,1.0,1.0,1,1,1,1.0
1126440534211268,1.0,1.0,1,1,1,1.0
1126238740024921,1.0,1.0,1,1,1,1.0
1126168937536839,1.0,1.0,1,1,1,1.0
1126153674671581,1.0,1.0,1,1,1,1.0
1124272421178145,1.0,1.0,1,1,1,1.0
1123952650497465,1.0,1.0,1,1,1,1.0
1123804140541651,1.0,1.0,1,1,1,1.0
1123645056525639,1.0,1.0,1,1,1,1.0
1121906003819194,1.0,1.0,1,1,1,1.0
1121807985616054,1.0,1.0,1,1,1,1.0
1121735985013007,1.0,1.0,1,1,1,1.0
1121727908834615,1.0,1.0,1,1,1,1.0
1121703731601398,1.0,1.0,1,1,1,1.0
1121661615062930,1.0,1.0,1,1,1,1.0
1121472199079402,1.0,1.0,1,1,1,1.0
1121308168796577,1.0,1.0,1,1,1,1.0
1121116458450581,1.0,1.0,1,1,1,1.0
1121070217306329,1.0,1.0,1,1,1,1.0
1121037451410641,1.0,1.0,1,1,1,1.0
1120924970921553,1.0,1.0,1,1,1,1.0
1120838652016609,1.0,1.0,1,1,1,1.0
1120801720187991,1.0,1.0,1,1,1,1.0
1120771639727690,1.0,1.0,1,1,1,1.0
1120719510470302,1.0,1.0,1,1,1,1.0
1120656511939649,1.0,1.0,1,1,1,1.0
1121998359040244,1.0,1.0,1,1,1,1.0
1127694235863277,1.0,1.0,1,1,1,1.0
1122010729628089,1.0,1.0,1,1,1,1.0
1122108438244611,1.0,1.0,1,1,1,1.0
1123625013679175,1.0,1.0,1,1,1,1.0
1123588382260946,1.0,1.0,1,1,1,1.0
1123438654676529,1.0,1.0,1,1,1,1.0
1123408703917139,1.0,1.0,1,1,1,1.0
1123370416050495,1.0,1.0,1,1,1,1.0
1123333752344090,1.0,1.0,1,1,1,1.0
1123262198933542,1.0,1.0,1,1,1,1.0
1123054959922690,1.0,1.0,1,1,1,1.0
1122940387829943,1.0,1.0,1,1,1,1.0
1122833630715415,1.0,1.0,1,1,1,1.0
1122803459391994,1.0,1.0,1,1,1,1.0
1122781174495264,1.0,1.0,1,1,1,1.0
1122646659182061,1.0,1.0,1,1,1,1.0
